Country Name,Status,Year,Electricity production from hydroelectric sources (% of total) [EG.ELC.HYRO.ZS],"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]",Renewable electricity output (% of total electricity output) [EG.ELC.RNEW.ZS],Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],Energy intensity level of primary energy (MJ/$2017 PPP GDP) [EG.EGY.PRIM.PP.KD],GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent) [EG.GDP.PUSE.KO.PP.KD],GDP (current US$) [NY.GDP.MKTP.CD]
Bangladesh,Least_Developed,2000,4.749223258,95.25077674,4.749223258,60.2,57.94291987,103.3644718,2.61,16.03832663,53369787319
Bangladesh,Least_Developed,2001,5.709521619,94.29047838,5.709521619,55.96,60.7230371,113.7612587,2.76,15.40625257,53991289844
Bangladesh,Least_Developed,2002,4.012858291,95.98714171,4.012858291,54.47,61.04664093,121.4628085,2.69,15.62356506,54724081491
Bangladesh,Least_Developed,2003,3.799715909,96.20028409,3.799715909,52.62,62.3942704,127.7698928,2.7,15.52972886,60158929188
Bangladesh,Least_Developed,2004,3.034477171,96.96552283,3.034477171,52.05,62.48464734,163.1604933,2.62,16.0464208,65108544250
Bangladesh,Least_Developed,2005,2.832079253,97.16792075,2.832079253,50.66,63.34035291,173.7318149,2.58,16.46337104,69442943089
Bangladesh,Least_Developed,2006,2.536317768,97.46368223,2.536317768,48.69,65.33087795,194.5819776,2.58,16.39098388,71819083684
Bangladesh,Least_Developed,2007,2.415739397,97.5842606,2.415739397,47.19,66.41712545,203.9949316,2.51,16.7962925,79611888213
Bangladesh,Least_Developed,2008,2.776316559,97.22368344,2.776316559,45.2,67.58003802,205.932668,2.48,16.96506961,91631278239
Bangladesh,Least_Developed,2009,1.121661242,98.87833876,1.121661242,43.1,69.00602698,224.8430049,2.48,16.9393067,1.02478E+11
Bangladesh,Least_Developed,2010,1.787202746,98.21279725,1.787202746,40.31,70.96940448,245.9041709,2.47,16.51244533,1.15279E+11
Bangladesh,Least_Developed,2011,1.974950739,98.02504926,1.974950739,38.44,71.64883909,263.9819899,2.4,16.94579061,1.28638E+11
Bangladesh,Least_Developed,2012,1.600016474,98.39998353,1.600016474,37.36,72.68378039,281.4439959,2.36,17.2017921,1.33356E+11
Bangladesh,Least_Developed,2013,1.682981928,98.05346386,1.946536145,36.96,72.86167193,299.4803504,2.37,17.85709032,1.49991E+11
Bangladesh,Least_Developed,2014,1.052914316,98.68027576,1.319724237,35.34,73.76893795,317.24537,2.31,18.13700983,1.72885E+11
India,Least_Developed,2000,13.07066324,83.44216483,13.59094803,46.88,63.72739451,392.5101757,6.42,6.179411029,4.68395E+11
India,Least_Developed,2001,12.52985951,83.48184457,13.20704353,47.11,63.64796634,392.3609036,6.22,6.385968724,4.85441E+11
India,Least_Developed,2002,11.20700669,84.76876407,12.05516116,45.75,64.32920579,408.7769006,6.16,6.436510284,5.14938E+11
India,Least_Developed,2003,12.41509011,83.79363804,13.46942476,45.63,64.51923944,428.2132845,5.84,6.780065342,6.07699E+11
India,Least_Developed,2004,13.23292266,83.02024442,14.4825005,44.92,65.58374371,448.9720155,5.73,6.947687063,7.09149E+11
India,Least_Developed,2005,15.07847346,80.949227,16.61901808,44.16,65.98980361,465.1766773,5.52,7.215531891,8.20382E+11
India,Least_Developed,2006,15.55627927,80.01587006,17.54042472,43.16,66.80567371,506.2225086,5.39,7.407900079,9.4026E+11
India,Least_Developed,2007,15.52570963,80.05155647,17.86408569,41.54,67.88343297,538.7865959,5.31,7.548873033,1.21674E+12
India,Least_Developed,2008,13.76817488,81.70058525,16.50983374,39.38,69.00512159,558.4267535,5.43,7.417049499,1.1989E+12
India,Least_Developed,2009,12.33356081,82.27508498,15.66005525,37.41,71.14349792,595.6056558,5.5,7.264351458,1.34189E+12
India,Least_Developed,2010,12.56565137,81.23585892,16.04374444,36.16,71.40469516,637.1258442,5.34,7.540201001,1.67562E+12
India,Least_Developed,2011,13.36223263,79.63232502,17.31696286,35.01,71.4717185,692.779357,5.28,7.612336797,1.82305E+12
India,Least_Developed,2012,11.08936476,81.28737036,15.73297336,34.75,72.41907946,718.2959462,5.29,7.649386983,1.82764E+12
India,Least_Developed,2013,12.3886605,79.72050931,17.34931383,34.86,72.28545864,758.1106752,5.11,7.954060715,1.85672E+12
